familia,nombre,genero,color,talla,cantidad,valor,proveedor,tipo_movimiento,fecha,factura,orden,concepto
BATA,BATA ESCOLAR,NINA,AZUL MARINO,14,73,22.50,TEXTILES DEL NORTE S.A.C.,1000,,F001-000265,OC-2026-0166,Compra de temporada
POLO,POLO PIQUE,HOMBRE,NEGRO,XL,80,19.80,HILADOS PIURA E.I.R.L.,1000,,F001-000266,OC-2026-0167,Compra de temporada
PANTALON,PANTALON CARGO,HOMBRE,BEIGE,L,87,44.20,CONFECCIONES LUCERO,1000,,F001-000267,OC-2026-0168,Compra de temporada
CAMISA,CAMISA MANGA LARGA,HOMBRE,CELESTE,M,94,44.80,TEXTILES DEL NORTE S.A.C.,1000,,F001-000268,OC-2026-0169,Compra de temporada
CAMISETA,CAMISETA DEPORTIVA,MUJER,AZUL MARINO,S,10,21.73,HILADOS PIURA E.I.R.L.,1000,,F001-000269,OC-2026-0170,Compra de temporada
JEAN,JEAN SLIM,HOMBRE,NEGRO,XS,17,40.70,CONFECCIONES LUCERO,1000,,F001-000270,OC-2026-0171,Compra de temporada
SHORT,SHORT CASUAL,MUJER,BEIGE,XXL,24,14.30,TEXTILES DEL NORTE S.A.C.,1000,,F001-000271,OC-2026-0172,Compra de temporada
VESTIDO,VESTIDO FORMAL,MUJER,CELESTE,XL,31,52.60,HILADOS PIURA E.I.R.L.,1000,,F001-000272,OC-2026-0173,Compra de temporada
BLUSA,BLUSA CASUAL,MUJER,AZUL MARINO,L,38,24.86,CONFECCIONES LUCERO,1000,,F001-000273,OC-2026-0174,Compra de temporada
BUSO,BUSO CANGURO,NINO,NEGRO,M,45,40.40,TEXTILES DEL NORTE S.A.C.,1000,,F001-000274,OC-2026-0175,Compra de temporada
CHAQUETA,CHAQUETA JEAN,MUJER,BEIGE,S,52,70.00,HILADOS PIURA E.I.R.L.,1000,,F001-000275,OC-2026-0176,Compra de temporada
FALDA,FALDA CASUAL,MUJER,CELESTE,XS,59,33.20,CONFECCIONES LUCERO,1000,,F001-000276,OC-2026-0177,Compra de temporada
OVEROL,OVEROL JARDINERO,UNISEX,AZUL MARINO,XXL,66,30.20,TEXTILES DEL NORTE S.A.C.,1000,,F001-000277,OC-2026-0178,Compra de temporada
UNIFORME,UNIFORME INDUSTRIAL,UNISEX,NEGRO,XL,73,37.80,HILADOS PIURA E.I.R.L.,1000,,F001-000278,OC-2026-0179,Compra de temporada
BIOSEGURIDAD,MASCARILLA TELA,UNISEX,BEIGE,UNICA,80,1.81,CONFECCIONES LUCERO,1000,,F001-000279,OC-2026-0180,Compra de temporada
BATA,BATA CLINICA,UNISEX,CELESTE,M,87,28.40,TEXTILES DEL NORTE S.A.C.,1002,,F001-000280,OC-2026-0181,Devolución de cliente
POLO,POLO BASICO,MUJER,AZUL MARINO,S,94,17.30,HILADOS PIURA E.I.R.L.,1000,,F001-000281,OC-2026-0182,Compra de temporada
PANTALON,PANTALON DRIL,HOMBRE,NEGRO,XS,10,41.20,CONFECCIONES LUCERO,1000,,F001-000282,OC-2026-0183,Compra de temporada
CAMISA,CAMISA FORMAL,HOMBRE,BEIGE,XXL,17,49.75,TEXTILES DEL NORTE S.A.C.,1000,,F001-000283,OC-2026-0184,Compra de temporada
CAMISETA,CAMISETA ALGODON,HOMBRE,CELESTE,XL,24,17.36,HILADOS PIURA E.I.R.L.,1000,,F001-000284,OC-2026-0185,Compra de temporada
JEAN,JEAN CLASICO,MUJER,AZUL MARINO,L,31,36.25,CONFECCIONES LUCERO,1000,,F001-000285,OC-2026-0186,Compra de temporada
SHORT,SHORT DEPORTIVO,NINO,NEGRO,M,38,11.80,TEXTILES DEL NORTE S.A.C.,1000,,F001-000286,OC-2026-0187,Compra de temporada
VESTIDO,VESTIDO CASUAL,MUJER,BEIGE,S,45,34.82,HILADOS PIURA E.I.R.L.,1000,,F001-000287,OC-2026-0188,Compra de temporada
BLUSA,BLUSA FORMAL,MUJER,CELESTE,XS,52,29.92,CONFECCIONES LUCERO,1000,,F001-000288,OC-2026-0189,Compra de temporada
BUSO,BUSO DEPORTIVO,MUJER,AZUL MARINO,XXL,59,36.40,TEXTILES DEL NORTE S.A.C.,1000,,F001-000289,OC-2026-0190,Compra de temporada
CHAQUETA,CHAQUETA IMPERMEABLE,HOMBRE,NEGRO,XL,66,76.50,HILADOS PIURA E.I.R.L.,1000,,F001-000290,OC-2026-0191,Compra de temporada
FALDA,FALDA ESCOLAR,NINA,BEIGE,10,73,24.30,CONFECCIONES LUCERO,1000,,F001-000291,OC-2026-0192,Compra de temporada
OVEROL,OVEROL INDUSTRIAL,UNISEX,CELESTE,M,80,59.00,TEXTILES DEL NORTE S.A.C.,1000,,F001-000292,OC-2026-0193,Compra de temporada
UNIFORME,UNIFORME ESCOLAR,NINA,AZUL MARINO,6,87,26.35,HILADOS PIURA E.I.R.L.,1000,,F001-000293,OC-2026-0194,Compra de temporada
BIOSEGURIDAD,MANDIL DESCARTABLE,UNISEX,NEGRO,UNICA,94,4.10,CONFECCIONES LUCERO,1000,,F001-000294,OC-2026-0195,Compra de temporada
BATA,BATA QUIRURGICA,UNISEX,BEIGE,XXL,10,33.95,TEXTILES DEL NORTE S.A.C.,1000,,F001-000295,OC-2026-0196,Compra de temporada
POLO,POLO DEPORTIVO,HOMBRE,CELESTE,XL,17,20.28,HILADOS PIURA E.I.R.L.,1000,,F001-000296,OC-2026-0197,Compra de temporada
PANTALON,PANTALON JOGGER,MUJER,AZUL MARINO,L,24,35.37,CONFECCIONES LUCERO,1000,,F001-000297,OC-2026-0198,Compra de temporada
CAMISA,CAMISA CASUAL,HOMBRE,NEGRO,M,31,35.32,TEXTILES DEL NORTE S.A.C.,1000,,F001-000298,OC-2026-0199,Compra de temporada
CAMISETA,CAMISETA DEPORTIVA,MUJER,BEIGE,S,38,20.83,HILADOS PIURA E.I.R.L.,1000,,F001-000299,OC-2026-0200,Compra de temporada

